dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-1237989,ocds-dgv273-seacev3-1245712,PE-CONSUCODE-1658,LP-ABR-4-2026-MDP-L/CS-1,2026-06-08T23:04:00-05:00
ocds-dgv273-seacev3-1222402,ocds-dgv273-seacev3-1245712,PE-CONSUCODE-1658,LP-ABR-4-2026-MDP-L/CS-1,2026-06-08T23:04:00-05:00
ocds-dgv273-seacev3-1225891,ocds-dgv273-seacev3-1247151,PE-CONSUCODE-614,LP-ABR-3-2026-MPC-1,2026-06-16T16:53:00-05:00
ocds-dgv273-seacev3-1227336,ocds-dgv273-seacev3-1227312,PE-CONSUCODE-2543,LP-SM-2-2026-ESSALUD-INCOR-1,2026-06-19T19:16:00-05:00
ocds-dgv273-seacev3-2026-1992-11,ocds-dgv273-seacev3-1229464,PE-CONSUCODE-1992,CP-ABR-6-2025-DINI-2,2026-06-18T20:49:00-05:00
ocds-dgv273-seacev3-1250996,ocds-dgv273-seacev3-1221645,PE-CONSUCODE-966,CP-ABR-2-2026-MDSR/C-1,2026-06-02T23:51:00-05:00
ocds-dgv273-seacev3-1223865,ocds-dgv273-seacev3-1237756,PE-CONSUCODE-233,LP-ABR-2-2026-MDPL/CS-1,2026-06-09T22:07:00-05:00
ocds-dgv273-seacev3-1228934,ocds-dgv273-seacev3-1239483,PE-CONSUCODE-41,CP-ABR-137-2025-GRJ-2,2026-06-30T23:46:00-05:00
ocds-dgv273-seacev3-2026-200363-52,ocds-dgv273-seacev3-1242804,PE-CONSUCODE-200363,LP-SM-3-2026-CENARES/MINSA-1,2026-06-10T17:42:00-05:00
ocds-dgv273-seacev3-1222719,ocds-dgv273-seacev3-1227906,PE-CONSUCODE-2319,LP-SM-1-2026-MDP/C-1,2026-06-05T20:41:00-05:00
ocds-dgv273-seacev3-1222104,ocds-dgv273-seacev3-1225664,PE-CONSUCODE-482,CP-ABR-2-2026-MDC-1,2026-06-04T14:51:00-05:00
ocds-dgv273-seacev3-1221605,ocds-dgv273-seacev3-1245883,PE-CONSUCODE-49,LP-ABR-116-2026-GR PUNO/OC-1,2026-06-02T20:21:00-05:00
ocds-dgv273-seacev3-1244863,ocds-dgv273-seacev3-1229556,PE-CONSUCODE-297,LP-ABR-5-2026-MP-CFF/CS-1-1,2026-06-30T22:36:00-05:00
ocds-dgv273-seacev3-1222615,ocds-dgv273-seacev3-1238205,PE-CONSUCODE-820,LP-ABR-7-2026-C-MDQ/LC-1,2026-06-04T20:48:00-05:00
ocds-dgv273-seacev3-1248353,ocds-dgv273-seacev3-1221861,PE-CONSUCODE-10446,LP-SM-2-2026-PLANCOPESCO/GRC-1,2026-06-03T17:30:00-05:00
